piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,7.45,2011,147,22,7,4,10,1,0,1035
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,8.0,2011,171,16,1,15,13,2,0,1167
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,8.15,2011,199,25,4,10,26,2,0,1613
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,8.3,2011,299,26,6,13,34,5,0,2164
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,8.45,2011,326,30,13,7,34,3,0,2565
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,9.0,2011,362,21,16,9,29,5,0,2514
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,9.15,2011,358,21,7,3,33,1,0,2749
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,9.3,2011,430,24,10,4,30,2,0,2879
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,9.45,2011,397,43,15,7,34,5,0,2816
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,10.0,2011,1132,124,41,19,106,17,0,8558
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,11.0,2011,953,178,37,23,73,9,0,7922
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,12.0,2011,1149,182,54,6,60,8,0,8508
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,13.0,2011,1187,162,41,12,53,8,0,9299
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,14.0,2011,1274,175,53,51,61,11,0,9717
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,15.0,2011,1519,202,54,10,75,15,0,11560
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,16.0,2011,497,42,14,1,20,9,0,3647
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,16.15,2011,589,73,14,4,21,9,0,4255
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,16.3,2011,660,54,9,3,33,9,0,4562
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,16.45,2011,684,41,1,2,31,6,0,4628
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,17.0,2011,704,43,1,2,32,6,0,4692
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,17.15,2011,761,28,12,11,44,7,0,4931
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,17.3,2011,742,36,9,8,32,11,0,4618
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,17.45,2011,661,27,6,5,34,9,0,4564
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,18.0,2011,686,24,6,6,29,11,0,4424
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,18.15,2011,654,20,4,1,23,7,0,4349
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,18.3,2011,616,16,3,2,20,12,0,4045
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,18.45,2011,543,12,8,2,25,14,0,3874
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,19.0,2011,1824,62,16,3,84,28,0,12835
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,20.0,2011,1374,68,5,37,36,0,0,9496
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,21.0,2011,1307,60,11,23,67,0,0,8331
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,22.0,2011,1041,47,9,18,54,0,0,6899
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,23.0,2011,615,28,5,11,31,0,0,4342
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,24.0,2011,451,21,4,9,24,0,0,2307
A03,MERIKANNONTIE,25495193,6673910,1.0,1.0,2011,8,0,0,0,0,0,0,22
A03,MERIKANNONTIE,25495193,6673910,1.0,2.0,2011,4,0,0,0,0,0,0,10
A03,MERIKANNONTIE,25495193,6673910,1.0,3.0,2011,2,0,0,0,0,0,0,9
A03,MERIKANNONTIE,25495193,6673910,1.0,4.0,2011,2,0,0,0,0,0,0,10
A03,MERIKANNONTIE,25495193,6673910,1.0,5.0,2011,3,0,0,0,0,0,0,8
A03,MERIKANNONTIE,25495193,6673910,1.0,6.0,2011,8,0,0,0,0,0,0,41
A03,MERIKANNONTIE,25495193,6673910,1.0,7.0,2011,4,0,0,0,0,0,0,39
A03,MERIKANNONTIE,25495193,6673910,1.0,7.15,2011,11,1,0,0,0,0,0,71
A03,MERIKANNONTIE,25495193,6673910,1.0,7.3,2011,34,0,0,0,0,0,0,163
A03,MERIKANNONTIE,25495193,6673910,1.0,7.45,2011,26,4,0,0,0,1,0,146
A03,MERIKANNONTIE,25495193,6673910,1.0,8.0,2011,21,1,0,0,0,0,0,138
A03,MERIKANNONTIE,25495193,6673910,1.0,8.15,2011,26,2,1,0,0,0,0,182
A03,MERIKANNONTIE,25495193,6673910,1.0,8.3,2011,35,3,0,0,1,0,0,246
A03,MERIKANNONTIE,25495193,6673910,1.0,8.45,2011,67,6,0,0,0,0,0,375
A03,MERIKANNONTIE,25495193,6673910,1.0,9.0,2011,78,2,1,0,0,0,0,430
A03,MERIKANNONTIE,25495193,6673910,1.0,9.15,2011,81,2,0,0,0,0,0,490
A03,MERIKANNONTIE,25495193,6673910,1.0,9.3,2011,83,7,0,0,1,1,0,502
A03,MERIKANNONTIE,25495193,6673910,1.0,9.45,2011,91,2,0,0,0,0,0,411
A03,MERIKANNONTIE,25495193,6673910,1.0,10.0,2011,169,16,2,0,0,0,0,1089
A03,MERIKANNONTIE,25495193,6673910,1.0,11.0,2011,97,11,5,0,0,1,0,638
A03,MERIKANNONTIE,25495193,6673910,1.0,12.0,2011,107,15,2,0,0,0,0,789
A03,MERIKANNONTIE,25495193,6673910,1.0,13.0,2011,100,12,1,0,1,0,0,733
A03,MERIKANNONTIE,25495193,6673910,1.0,14.0,2011,117,10,3,0,1,5,0,748
A03,MERIKANNONTIE,25495193,6673910,1.0,15.0,2011,105,16,3,0,0,0,0,759
A03,MERIKANNONTIE,25495193,6673910,1.0,16.0,2011,23,2,1,0,0,0,0,199
A03,MERIKANNONTIE,25495193,6673910,1.0,16.15,2011,31,3,0,0,0,0,0,239
A03,MERIKANNONTIE,25495193,6673910,1.0,16.3,2011,37,5,1,0,0,0,0,251
A03,MERIKANNONTIE,25495193,6673910,1.0,16.45,2011,52,3,0,0,0,0,0,260
A03,MERIKANNONTIE,25495193,6673910,1.0,17.0,2011,60,1,0,0,0,0,0,310
A03,MERIKANNONTIE,25495193,6673910,1.0,17.15,2011,46,2,0,0,0,0,0,290
A03,MERIKANNONTIE,25495193,6673910,1.0,17.3,2011,32,3,0,0,0,0,0,267
A03,MERIKANNONTIE,25495193,6673910,1.0,17.45,2011,31,2,1,0,0,0,0,266
A03,MERIKANNONTIE,25495193,6673910,1.0,18.0,2011,41,1,1,0,0,0,0,267
A03,MERIKANNONTIE,25495193,6673910,1.0,18.15,2011,44,1,0,0,0,0,0,232
A03,MERIKANNONTIE,25495193,6673910,1.0,18.3,2011,41,3,0,0,0,0,0,260
A03,MERIKANNONTIE,25495193,6673910,1.0,18.45,2011,32,1,1,0,0,0,0,231
A03,MERIKANNONTIE,25495193,6673910,1.0,19.0,2011,125,3,0,0,0,0,0,786
A03,MERIKANNONTIE,25495193,6673910,1.0,20.0,2011,87,4,1,0,0,1,0,554
A03,MERIKANNONTIE,25495193,6673910,1.0,21.0,2011,77,3,1,0,0,0,0,405
A03,MERIKANNONTIE,25495193,6673910,1.0,22.0,2011,28,1,0,0,0,0,0,255
A03,MERIKANNONTIE,25495193,6673910,1.0,23.0,2011,19,1,0,0,0,0,0,121
A03,MERIKANNONTIE,25495193,6673910,1.0,24.0,2011,6,0,0,0,0,0,0,71
A03,MERIKANNONTIE,25495193,6673910,2.0,1.0,2011,1,0,0,0,0,0,0,17
A03,MERIKANNONTIE,25495193,6673910,2.0,2.0,2011,1,0,0,0,0,0,0,11
A03,MERIKANNONTIE,25495193,6673910,2.0,3.0,2011,1,0,0,0,0,0,0,6
A03,MERIKANNONTIE,25495193,6673910,2.0,4.0,2011,1,0,0,0,0,0,0,10
A03,MERIKANNONTIE,25495193,6673910,2.0,5.0,2011,1,0,0,0,0,0,0,6
A03,MERIKANNONTIE,25495193,6673910,2.0,6.0,2011,2,0,0,0,0,0,0,14
A03,MERIKANNONTIE,25495193,6673910,2.0,7.0,2011,1,1,0,0,0,0,0,19
A03,MERIKANNONTIE,25495193,6673910,2.0,7.15,2011,2,0,0,0,0,0,0,22
A03,MERIKANNONTIE,25495193,6673910,2.0,7.3,2011,5,0,0,0,0,0,0,55
A03,MERIKANNONTIE,25495193,6673910,2.0,7.45,2011,4,0,0,0,0,0,0,41
A03,MERIKANNONTIE,25495193,6673910,2.0,8.0,2011,2,0,0,0,0,0,0,46
A03,MERIKANNONTIE,25495193,6673910,2.0,8.15,2011,6,1,1,0,0,0,0,63
A03,MERIKANNONTIE,25495193,6673910,2.0,8.3,2011,22,2,0,0,0,0,0,115
A03,MERIKANNONTIE,25495193,6673910,2.0,8.45,2011,22,5,0,0,1,0,0,150
A03,MERIKANNONTIE,25495193,6673910,2.0,9.0,2011,30,0,0,0,0,0,0,159
A03,MERIKANNONTIE,25495193,6673910,2.0,9.15,2011,18,3,0,0,0,0,0,124
A03,MERIKANNONTIE,25495193,6673910,2.0,9.3,2011,21,0,2,0,0,1,0,139
A03,MERIKANNONTIE,25495193,6673910,2.0,9.45,2011,17,3,0,0,0,0,0,111
A03,MERIKANNONTIE,25495193,6673910,2.0,10.0,2011,50,8,2,0,0,0,0,437
A03,MERIKANNONTIE,25495193,6673910,2.0,11.0,2011,49,7,1,0,0,0,0,397
A03,MERIKANNONTIE,25495193,6673910,2.0,12.0,2011,59,13,3,0,1,0,0,436
A03,MERIKANNONTIE,25495193,6673910,2.0,13.0,2011,79,20,4,0,0,0,0,508
A03,MERIKANNONTIE,25495193,6673910,2.0,14.0,2011,69,16,0,0,0,0,0,471
A03,MERIKANNONTIE,25495193,6673910,2.0,15.0,2011,98,8,1,0,0,1,0,534
A03,MERIKANNONTIE,25495193,6673910,2.0,16.0,2011,27,1,0,0,0,0,0,212
A03,MERIKANNONTIE,25495193,6673910,2.0,16.15,2011,23,1,0,0,1,0,0,198
A03,MERIKANNONTIE,25495193,6673910,2.0,16.3,2011,33,3,0,0,0,1,0,233
A03,MERIKANNONTIE,25495193,6673910,2.0,16.45,2011,37,2,2,0,0,0,0,252
A03,MERIKANNONTIE,25495193,6673910,2.0,17.0,2011,39,3,0,0,1,0,0,265
A03,MERIKANNONTIE,25495193,6673910,2.0,17.15,2011,28,2,0,0,0,1,0,264
A03,MERIKANNONTIE,25495193,6673910,2.0,17.3,2011,38,3,0,0,0,1,0,242
A03,MERIKANNONTIE,25495193,6673910,2.0,17.45,2011,41,3,0,0,0,0,0,222
A03,MERIKANNONTIE,25495193,6673910,2.0,18.0,2011,23,3,0,0,0,0,0,180
A03,MERIKANNONTIE,25495193,6673910,2.0,18.15,2011,27,4,2,0,0,0,0,215
A03,MERIKANNONTIE,25495193,6673910,2.0,18.3,2011,27,0,0,0,0,0,0,160
A03,MERIKANNONTIE,25495193,6673910,2.0,18.45,2011,27,4,0,0,0,0,0,154
A03,MERIKANNONTIE,25495193,6673910,2.0,19.0,2011,102,5,3,0,0,0,0,618
A03,MERIKANNONTIE,25495193,6673910,2.0,20.0,2011,78,3,0,0,0,0,0,475
A03,MERIKANNONTIE,25495193,6673910,2.0,21.0,2011,49,0,0,0,1,0,0,350
A03,MERIKANNONTIE,25495193,6673910,2.0,22.0,2011,21,2,0,0,1,0,0,220
A03,MERIKANNONTIE,25495193,6673910,2.0,23.0,2011,12,0,0,0,0,0,0,93
A03,MERIKANNONTIE,25495193,6673910,2.0,24.0,2011,4,0,0,0,0,0,0,70
A04,MECHELININKATU,25495441,6673716,1.0,1.0,2011,41,4,0,0,5,0,0,360
A04,MECHELININKATU,25495441,6673716,1.0,2.0,2011,25,7,1,0,3,0,0,203
