Onnett_id,Vuosi,Kk,Kuolleet,Loukkaant,Vakavuusko,Tunti,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Katuosoite,accident-index
6654979,2011,12,0,0,0,21,3,3,2,80,59312.0,2826.0,E,KEHÄ 1,116
6771110,2011,9,0,0,0,9,6,6,3,80,74047.0,3641.0,E,KEHÄ 1,117
6815725,2011,8,0,0,0,22,6,6,2,80,74047.0,3641.0,E,KEHÄ 1,118
6863115,2011,7,0,1,2,23,96,9,2,50,74047.0,3641.0,K,KEHÄ 1,119
6625592,2011,2,0,0,0,15,9,13,2,80,74047.0,3641.0,E,VIHDINTIE,120
6468815,2011,2,0,0,0,7,9,13,3,80,74047.0,3641.0,E,KEHÄ 1,121
6691377,2011,10,0,0,0,5,80,1,1,80,74047.0,3641.0,E,KEHÄ 1,122
6791786,2011,5,0,0,0,13,6,6,2,80,74047.0,3641.0,E,KEHÄ 1,123
6663442,2011,11,0,0,0,17,2,3,2,80,74047.0,3641.0,E,KEHÄ 1,124
6624722,2011,2,0,0,0,9,6,6,3,80,74047.0,3641.0,E,KEHÄ 1,125
6851994,2011,6,0,0,0,17,4,3,2,80,74047.0,3641.0,E,KEHÄ 1,126
6886404,2011,9,0,0,0,16,3,3,2,80,74047.0,3641.0,E,HÄMEENLINNANVÄYLÄ,127
6537478,2011,11,0,0,0,23,86,1,1,80,86206.0,3675.0,E,KEHÄ 1,128
6626247,2011,2,0,2,2,8,6,6,3,80,86206.0,3675.0,E,KEHÄ 1,129
6736928,2011,10,0,0,0,1,89,1,1,80,86206.0,3675.0,E,KEHÄ 1,130
6900479,2011,8,0,0,0,10,4,3,2,70,86206.0,3675.0,E,KEHÄ 1,131
6770963,2011,4,0,0,0,17,8,6,3,80,86206.0,3675.0,E,KEHÄ 1,132
6900582,2011,8,0,0,0,16,2,3,2,80,86206.0,3675.0,E,KEHÄ 1,133
6910781,2011,6,0,3,2,16,8,6,3,80,86206.0,3675.0,E,KEHÄ 1,134
6719012,2011,10,0,0,0,8,7,6,2,80,86206.0,3675.0,E,KEHÄ 1,135
6763355,2011,10,0,1,2,16,6,6,4,80,86206.0,3675.0,E,KEHÄ 1,136
6869305,2011,9,0,1,2,16,7,6,4,80,86206.0,3675.0,E,KEHÄ 1,137
6583172,2011,2,0,0,0,18,9,13,2,80,86206.0,3675.0,E,KEHÄ 1,138
6900555,2011,8,0,1,2,9,9,13,2,80,86651.0,3642.0,E,KEHÄ 1,139
6542274,2011,3,0,0,0,10,4,3,2,80,86651.0,3642.0,E,KEHÄ 1,140
6683159,2011,3,0,0,0,17,8,6,3,80,86651.0,3642.0,E,KEHÄ 1,141
6900499,2011,7,0,0,0,16,2,3,2,80,86651.0,3642.0,E,KEHÄ 1,142
6737049,2011,10,0,0,0,2,80,1,1,80,86651.0,3642.0,E,KEHÄ 1,143
6815387,2011,4,0,0,0,17,3,3,2,80,86651.0,3642.0,E,TUUSULANVÄYLÄ,144
6913608,2011,8,0,0,0,15,9,13,2,80,86651.0,3642.0,E,KEHÄ 1,145
6617095,2011,2,0,0,0,20,6,6,2,80,86651.0,3642.0,E,KEHÄ 1,146
6581171,2011,2,0,1,2,12,7,6,2,80,86651.0,3642.0,E,KEHÄ 1,147
6792957,2011,5,0,0,0,8,4,3,2,80,86651.0,3642.0,E,KEHÄ 1,148
6691088,2011,12,0,0,0,8,3,3,2,80,55925.0,3275.0,E,KEHÄ 1,149
6614764,2011,3,0,0,0,17,8,6,4,80,45693.0,,E,KEHÄ 1,150
6523229,2011,3,0,0,0,8,6,6,2,80,57297.0,3330.0,E,KEHÄ 1,151
6900519,2011,8,0,0,0,17,6,6,2,80,55072.0,3201.0,E,KEHÄ 1,152
6770941,2011,9,0,0,0,8,3,3,2,80,55072.0,3201.0,E,KEHÄ 1,153
6920366,2011,6,0,0,0,13,2,3,2,80,55072.0,3201.0,E,KEHÄ 1,154
6574480,2011,1,0,0,0,17,7,6,3,80,55072.0,3201.0,E,KEHÄ 1,155
6470350,2011,2,0,0,0,10,3,3,2,80,55072.0,3201.0,E,KEHÄ 1,156
6663621,2011,12,0,0,0,17,3,3,2,60,49989.0,2352.0,E,KEHÄ 1,157
6583146,2011,2,0,0,0,15,6,6,2,60,44675.0,2406.0,E,KEHÄ 1,158
6910931,2011,7,0,0,0,7,86,13,2,60,44675.0,2406.0,E,KEHÄ 1,159
6791962,2011,5,0,0,0,14,8,6,3,60,44675.0,2406.0,E,KEHÄ 1,160
6493924,2011,1,0,0,0,21,40,4,2,60,44675.0,2406.0,E,KEHÄ 1,161
6892708,2011,5,0,0,0,20,40,4,2,60,44675.0,2406.0,E,KEHÄ 1,162
6615366,2011,2,0,0,0,11,89,13,2,60,44675.0,2406.0,E,KEHÄ 1,163
6815234,2011,9,0,0,0,16,9,13,2,60,44675.0,2406.0,E,ITÄVÄYLÄ,164
6736849,2011,11,0,0,0,18,8,6,3,60,44675.0,2406.0,E,KEHÄ 1,165
6713076,2011,12,0,2,2,15,6,6,2,60,44675.0,2406.0,E,KEHÄ 1,166
6763349,2011,10,0,1,2,6,53,4,2,50,44675.0,2406.0,K,KEHÄ 1,167
6547651,2011,1,0,0,0,11,6,6,2,50,44675.0,2406.0,E,KEHÄ 1,168
6546322,2011,1,0,0,0,13,59,4,2,50,44675.0,2406.0,E,KEHÄ 1,169
6548001,2011,3,0,0,0,8,4,3,2,50,44675.0,2406.0,E,KEHÄ 1,170
6785392,2011,10,0,0,0,15,49,4,2,60,44675.0,2406.0,E,KEHÄ 1,171
6903768,2011,8,0,0,0,13,4,3,2,50,44675.0,2406.0,K,KEHÄ 1,172
6506969,2011,1,0,1,2,10,8,6,4,70,21497.0,1224.0,E,VIHDINTIE,173
6817803,2011,4,0,0,0,16,8,6,2,80,21497.0,1224.0,E,VIHDINTIE,174
6691249,2011,12,0,1,2,8,62,9,2,70,21497.0,1224.0,E,VIHDINTIE,175
6807770,2011,8,0,0,0,9,52,4,2,70,21497.0,1224.0,E,VIHDINTIE,176
6792276,2011,9,0,1,2,20,8,7,2,70,21497.0,1224.0,E,VIHDINTIE,177
6617086,2011,2,0,0,0,12,8,6,2,70,21497.0,1224.0,E,VIHDINTIE,178
6624333,2011,12,0,1,2,16,15,8,2,70,21497.0,1224.0,E,VIHDINTIE,179
6573934,2011,1,0,0,0,15,6,6,2,70,21497.0,1224.0,E,VIHDINTIE,180
6785704,2011,4,0,0,0,13,3,3,2,60,21497.0,1224.0,E,VIHDINTIE,181
6493995,2011,1,0,0,0,19,8,6,4,70,21497.0,1224.0,E,KEHÄ 1,182
