Onnett_id,Tienpit,Tie,Aosa,Aet,Ajr,Vuosi,Kk,Päivä,Kuolleet,Loukkaant,Vakavuusko,Tunti,Vkpv,Ontyyppi,Onluokka,Osallkm,Nopraj,Taajmerk,Pinta,Valoisuus,Sää,Onnpaikka,Liikvalot,Liittyvtie,Noplaji,Nopsuunvas,Nopsuunoik,Taajama,Mo_mol,Toimluokka,Kvl,Raskaskvl,Tienlev,X,Y,Tietyö,Päällyste,Lämpötila,Risteys,Katuosoite,Tietyyppi,Lisäkaisty,Solmutyyp,Liitluok,Lähliittie,Suuntlkm,Toimenpide,Valaisomis,Poikkileik,Päällyslev,Päällystlk
6712939,1,4.0,103.0,361.0,2.0,2011,11,13.11.2011,0,0,0,18,Sunnuntai,8,6,2,100,0,1,4,2,1,-1,,1,100,100,E,1,1,40377.0,4517.0,341.0,391736.0,6679716.0,E,1,6.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6763454,1,4.0,103.0,448.0,1.0,2011,10,25.10.2011,0,0,0,17,Tiistai,99,13,2,100,0,-1,2,-1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,341.0,391816.0,6679757.0,E,1,10.0,0,LAHDEN MOOTTORITIE                      ,-1,3,-1,-1,,,1,1,2,150.0,10
6624617,1,4.0,103.0,521.0,2.0,2011,12,09.12.2011,0,0,0,17,Perjantai,6,6,2,80,0,2,4,6,1,-1,,1,100,100,E,1,1,40377.0,4517.0,341.0,391861.0,6679815.0,E,1,1.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6683196,1,4.0,103.0,651.0,1.0,2011,3,23.03.2011,0,0,0,8,Keskiviikko,2,3,2,100,0,2,1,2,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,391974.0,6679884.0,E,1,4.0,0,TIE 4,-1,3,-1,-1,,,1,1,2,150.0,10
6919063,1,4.0,103.0,760.0,1.0,2011,8,27.08.2011,0,0,0,16,Lauantai,89,1,1,100,0,1,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392058.0,6679953.0,E,1,26.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6713086,1,4.0,103.0,815.0,2.0,2011,11,13.11.2011,0,0,0,17,Sunnuntai,6,6,3,100,0,1,3,2,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392086.0,6680003.0,E,1,6.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6542382,1,4.0,103.0,921.0,2.0,2011,1,29.01.2011,0,1,2,3,Lauantai,81,1,1,100,0,6,3,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392166.0,6680072.0,E,1,-4.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6845053,1,4.0,103.0,1021.0,2.0,2011,5,22.05.2011,0,0,0,18,Sunnuntai,94,1,1,80,0,1,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392241.0,6680139.0,K,1,17.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6886058,1,4.0,103.0,1089.0,1.0,2011,6,16.06.2011,0,0,0,8,Torstai,6,6,4,80,0,1,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392305.0,6680171.0,E,1,20.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6486523,1,4.0,103.0,1110.0,2.0,2011,2,28.02.2011,0,0,0,7,Maanantai,7,6,2,100,0,1,4,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392306.0,6680199.0,E,1,-11.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
